Time[s], SD_DIN, SD_DOUT, SD_NCS, SD_CLK
0.000000000, 1, 1, 0, 0
0.000034400, 1, 1, 0, 1
0.000034560, 1, 1, 0, 0
0.000034800, 1, 1, 0, 1
0.000034880, 1, 1, 0, 0
0.000035120, 1, 1, 0, 1
0.000112480, 1, 1, 0, 0
0.000179280, 1, 1, 0, 1
0.000257120, 1, 1, 0, 0
0.000323440, 1, 1, 0, 1
0.000323840, 1, 1, 0, 0
0.000323920, 1, 1, 0, 1
0.000324080, 1, 1, 0, 0
0.000324160, 1, 1, 0, 1
0.000368320, 1, 0, 0, 1
0.000369280, 1, 1, 0, 1
0.000369360, 1, 0, 0, 1
0.000369520, 1, 1, 0, 1
0.000369600, 1, 0, 0, 1
0.000370160, 1, 1, 0, 1
0.000370560, 1, 0, 0, 1
0.000370640, 1, 1, 0, 1
0.000370720, 1, 0, 0, 1
0.000370880, 1, 1, 0, 1
0.000370960, 1, 0, 0, 1
0.000371120, 1, 1, 0, 1
0.000371760, 1, 0, 0, 1
0.000371920, 1, 1, 0, 1
0.000372000, 1, 0, 0, 1
0.000372080, 1, 1, 0, 1
0.000372160, 1, 0, 0, 1
0.000372480, 1, 1, 0, 1
0.000372560, 1, 0, 0, 1
0.000372640, 1, 1, 0, 1
0.000372800, 1, 0, 0, 1
0.000372880, 1, 1, 0, 1
0.000373280, 1, 0, 0, 1
0.000373360, 1, 1, 0, 1
0.000373440, 1, 0, 0, 1
0.000373520, 1, 1, 0, 1
0.000373760, 1, 0, 0, 1
0.000373840, 1, 1, 0, 1
0.000374000, 1, 0, 0, 1
0.000374160, 1, 1, 0, 1
0.000374320, 1, 0, 0, 1
0.000374400, 1, 1, 0, 1
0.000374480, 1, 0, 0, 1
0.000374560, 1, 1, 0, 1
0.000374720, 1, 0, 0, 1
0.000374800, 1, 1, 0, 1
0.000374960, 1, 0, 0, 1
0.000375040, 1, 1, 0, 1
0.000375120, 1, 0, 0, 1
0.000375280, 1, 1, 0, 1
0.000375520, 1, 0, 0, 1
0.000375600, 1, 1, 0, 1
0.000375680, 1, 0, 0, 1
0.000375760, 1, 1, 0, 1
0.000375920, 1, 0, 0, 1
0.000376000, 1, 1, 0, 1
0.000376240, 1, 0, 0, 1
0.000376320, 1, 1, 0, 1
0.000376400, 1, 0, 0, 1
0.000376480, 1, 1, 0, 1
0.000376800, 1, 0, 0, 1
0.000376880, 1, 1, 0, 1
0.000377040, 1, 0, 0, 1
0.000377120, 1, 1, 0, 1
0.000377200, 1, 0, 0, 1
0.000377280, 1, 1, 0, 1
0.000377520, 1, 0, 0, 1
0.000377680, 1, 1, 0, 1
0.000378080, 1, 0, 0, 1
0.000378160, 1, 1, 0, 1
0.000378240, 1, 0, 0, 1
0.000378480, 1, 1, 0, 1
0.000378560, 1, 0, 0, 1
0.000378640, 1, 1, 0, 1
0.000378800, 1, 0, 0, 1
0.000379040, 1, 1, 0, 1
0.000379200, 1, 0, 0, 1
0.000379280, 1, 1, 0, 1
0.000379360, 1, 0, 0, 1
0.000379440, 1, 1, 0, 1
0.000379600, 1, 0, 0, 1
0.000379920, 1, 1, 0, 1
0.000380080, 1, 0, 0, 1
0.000380160, 1, 1, 0, 1
0.000380400, 1, 0, 0, 1
0.000380480, 1, 1, 0, 1
0.000380640, 1, 0, 0, 1
0.000380720, 1, 1, 0, 1
0.000380800, 1, 0, 0, 1
0.000380880, 1, 1, 0, 1
0.000380960, 1, 0, 0, 1
0.000381120, 1, 1, 0, 1
0.000381360, 1, 0, 0, 1
0.000381520, 1, 1, 0, 1
0.000381600, 1, 0, 0, 1
0.000381680, 1, 1, 0, 1
0.000381760, 1, 0, 0, 1
0.000381840, 1, 1, 0, 1
0.000381920, 1, 0, 0, 1
0.000382000, 1, 1, 0, 1
0.000382240, 1, 0, 0, 1
0.000382320, 1, 1, 0, 1
0.000382800, 1, 0, 0, 1
0.000382880, 1, 1, 0, 1
0.000383360, 1, 0, 0, 1
0.000383440, 1, 1, 0, 1
0.000383520, 1, 0, 0, 1
0.000384080, 1, 1, 0, 1
0.000384240, 1, 0, 0, 1
0.000384400, 1, 1, 0, 1
0.000384560, 1, 0, 0, 1
0.000384640, 1, 1, 0, 1
0.000385040, 1, 0, 0, 1
0.000385200, 1, 1, 0, 1
0.000385360, 1, 0, 0, 1
0.000385440, 1, 1, 0, 1
0.000385520, 1, 0, 0, 1
0.000385920, 1, 1, 0, 1
0.000386080, 1, 0, 0, 1
0.000386160, 1, 1, 0, 1
0.000386240, 1, 0, 0, 1
0.000386480, 1, 1, 0, 1
0.000386640, 1, 0, 0, 1
0.000386720, 1, 1, 0, 1
0.000386800, 1, 0, 0, 1
0.000386880, 1, 1, 0, 1
0.000386960, 1, 0, 0, 1
0.000387200, 1, 1, 0, 1
0.000387280, 1, 0, 0, 1
0.000387360, 1, 1, 0, 1
0.000387440, 1, 0, 0, 1
0.000388000, 1, 1, 0, 1
0.000388080, 1, 0, 0, 1
0.000388480, 1, 1, 0, 1
0.000388560, 1, 0, 0, 1
0.000388720, 1, 1, 0, 1
0.000388880, 1, 0, 0, 1
0.000389200, 1, 1, 0, 1
0.000389360, 1, 0, 0, 1
0.000389440, 1, 1, 0, 1
0.000389520, 1, 0, 0, 1
0.000389680, 1, 1, 0, 1
0.000389760, 1, 0, 0, 1
0.000390640, 1, 1, 0, 1
0.000390800, 1, 0, 0, 1
0.000390960, 1, 1, 0, 1
0.000391120, 1, 0, 0, 1
0.000391360, 1, 1, 0, 1
0.000391440, 1, 0, 0, 1
0.000391680, 1, 1, 0, 1
0.000391760, 1, 0, 0, 1
0.000391840, 1, 1, 0, 1
0.000392080, 1, 0, 0, 1
0.000392240, 1, 1, 0, 1
0.000392320, 1, 0, 0, 1
0.000392560, 1, 1, 0, 1
0.000392720, 1, 0, 0, 1
0.000392880, 1, 1, 0, 1
0.000392960, 1, 0, 0, 1
0.000393040, 1, 1, 0, 1
0.000393200, 1, 0, 0, 1
0.000393280, 1, 1, 0, 1
0.000393360, 1, 0, 0, 1
0.000393520, 1, 1, 0, 1
0.000393680, 1, 0, 0, 1
0.000394240, 1, 1, 0, 1
0.000394320, 1, 0, 0, 1
0.000394400, 1, 1, 0, 1
0.000394560, 1, 0, 0, 1
0.000394880, 1, 1, 0, 1
0.000394960, 1, 0, 0, 1
0.000395200, 1, 1, 0, 1
0.000395280, 1, 0, 0, 1
0.000395520, 1, 1, 0, 1
0.000395760, 1, 0, 0, 1
0.000396160, 1, 1, 0, 1
0.000396240, 1, 0, 0, 1
0.000396320, 1, 1, 0, 1
0.000396400, 1, 0, 0, 1
0.000396480, 1, 1, 0, 1
0.000396560, 1, 0, 0, 1
0.000396720, 1, 1, 0, 1
0.000396800, 1, 0, 0, 1
0.000396880, 1, 1, 0, 1
0.000396960, 1, 0, 0, 1
0.000397040, 1, 1, 0, 1
0.000397120, 1, 0, 0, 1
0.000397360, 1, 1, 0, 1
0.000397440, 1, 0, 0, 1
0.000397520, 1, 1, 0, 1
0.000397600, 1, 0, 0, 1
0.000398000, 1, 1, 0, 1
0.000398160, 1, 0, 0, 1
0.000398640, 1, 1, 0, 1
0.000398720, 1, 0, 0, 1
0.000398800, 1, 1, 0, 1
0.000399040, 1, 0, 0, 1
0.000399280, 1, 1, 0, 1
0.000399360, 1, 0, 0, 1
0.000399440, 1, 1, 0, 1
0.000399760, 1, 0, 0, 1
0.000399840, 1, 1, 0, 1
0.000399920, 1, 0, 0, 1
0.000400080, 1, 1, 0, 1
0.000400160, 1, 0, 0, 1
0.000400240, 1, 1, 0, 1
0.000400320, 1, 0, 0, 1
0.000400400, 1, 0, 0, 0
0.000400480, 1, 0, 0, 1
0.000400560, 1, 1, 0, 1
0.000400640, 1, 0, 0, 0
0.000400960, 1, 1, 0, 1
0.000401040, 1, 0, 0, 0
0.000401120, 1, 1, 0, 1
0.000401200, 1, 0, 0, 0
0.000401280, 1, 1, 0, 0
0.000401360, 1, 0, 0, 0
0.000401520, 1, 1, 0, 0
0.000401600, 1, 0, 0, 0
0.000401840, 1, 1, 0, 0
0.000402160, 1, 0, 0, 0
0.000402400, 1, 1, 0, 0
0.000402480, 1, 0, 0, 0
0.000402560, 1, 1, 0, 0
0.000402720, 1, 0, 0, 0
0.000403040, 1, 1, 0, 0
0.000403120, 1, 0, 0, 0
0.000403440, 1, 1, 0, 0
0.000403600, 1, 0, 0, 0
0.000403680, 1, 1, 0, 0
0.000403760, 1, 0, 0, 0
0.000403920, 1, 1, 0, 0
0.000404000, 1, 0, 0, 0
0.000404320, 1, 1, 0, 0
0.000404400, 1, 0, 0, 0
0.000404480, 1, 1, 0, 0
0.000404560, 1, 0, 0, 0
0.000404640, 1, 1, 0, 0
0.000404800, 1, 0, 0, 0
0.000404960, 1, 1, 0, 0
0.000405040, 1, 0, 0, 0
0.000405120, 1, 1, 0, 0
0.000405520, 1, 0, 0, 0
0.000405600, 1, 1, 0, 0
0.000405680, 1, 0, 0, 0
0.000405840, 1, 1, 0, 0
0.000405920, 1, 0, 0, 0
0.000406240, 1, 1, 0, 0
0.000406400, 1, 0, 0, 0
0.000406560, 1, 1, 0, 0
0.000406640, 1, 0, 0, 0
0.000406720, 1, 1, 0, 0
0.000406800, 1, 0, 0, 0
0.000406960, 1, 1, 0, 0
0.000407040, 1, 0, 0, 0
0.000407120, 1, 1, 0, 0
0.000407200, 1, 0, 0, 0
0.000407280, 1, 1, 0, 0
0.000407360, 1, 0, 0, 0
0.000407520, 1, 1, 0, 0
0.000407680, 1, 0, 0, 0
0.000407840, 1, 1, 0, 0
0.000407920, 1, 0, 0, 0
0.000408000, 1, 1, 0, 0
0.000408080, 1, 0, 0, 0
0.000408240, 1, 1, 0, 0
0.000408640, 1, 0, 0, 0
0.000408800, 1, 1, 0, 0
0.000408880, 1, 0, 0, 0
0.000409120, 1, 1, 0, 0
0.000409360, 1, 0, 0, 0
0.000409520, 1, 1, 0, 0
0.000409680, 1, 0, 0, 0
0.000409840, 1, 1, 0, 0
0.000410000, 1, 0, 0, 0
0.000410080, 1, 1, 0, 0
0.000410160, 1, 0, 0, 0
0.000410320, 1, 1, 0, 0
0.000410560, 1, 0, 0, 0
0.000410800, 1, 1, 0, 0
0.000410880, 1, 0, 0, 0
0.000410960, 1, 1, 0, 0
0.000411120, 1, 0, 0, 0
0.000411200, 1, 1, 0, 0
0.000411280, 1, 0, 0, 0
0.000411360, 1, 1, 0, 0
0.000411440, 1, 0, 0, 0
0.000411600, 1, 1, 0, 0
0.000411760, 1, 0, 0, 0
0.000412080, 1, 1, 0, 0
0.000412160, 1, 0, 0, 0
0.000412320, 1, 1, 0, 0
0.000412560, 1, 0, 0, 0
0.000412640, 1, 1, 0, 0
0.000412720, 1, 0, 0, 0
0.000412800, 1, 1, 0, 0
0.000412880, 1, 0, 0, 0
0.000412960, 1, 1, 0, 0
0.000413040, 1, 0, 0, 0
0.000413360, 1, 1, 0, 0
0.000413440, 1, 0, 0, 0
0.000413520, 1, 1, 0, 0
0.000413680, 1, 0, 0, 0
0.000414000, 1, 1, 0, 0
0.000414080, 1, 0, 0, 0
0.000414160, 1, 1, 0, 0
0.000414320, 1, 0, 0, 0
0.000414640, 1, 1, 0, 0
0.000414720, 1, 0, 0, 0
0.000414880, 1, 1, 0, 0
0.000415120, 1, 0, 0, 0
0.000415440, 1, 1, 0, 0
0.000415520, 1, 0, 0, 0
0.000415600, 1, 1, 0, 0
0.000415760, 1, 0, 0, 0
0.000416000, 1, 1, 0, 0
0.000416080, 1, 0, 0, 0
0.000416160, 1, 1, 0, 0
0.000416400, 1, 0, 0, 0
0.000416560, 1, 1, 0, 0
0.000416640, 1, 0, 0, 0
0.000416800, 1, 1, 0, 0
0.000416960, 1, 0, 0, 0
0.000417200, 1, 1, 0, 0
0.000417280, 1, 0, 0, 0
0.000417360, 1, 1, 0, 0
0.000417440, 1, 0, 0, 0
0.000417840, 1, 1, 0, 0
0.000417920, 1, 0, 0, 0
0.000418160, 1, 1, 0, 0
0.000418240, 1, 0, 0, 0
0.000418560, 1, 1, 0, 0
0.000418720, 1, 0, 0, 0
0.000418800, 1, 1, 0, 0
0.000418880, 1, 0, 0, 0
0.000419280, 1, 1, 0, 0
0.000419440, 1, 0, 0, 0
0.000419920, 1, 1, 0, 0
0.000420000, 1, 0, 0, 0
0.000420080, 1, 1, 0, 0
0.000420240, 1, 0, 0, 0
0.000420560, 1, 1, 0, 0
0.000420640, 1, 0, 0, 0
0.000420720, 1, 1, 0, 0
0.000421120, 1, 0, 0, 0
0.000421280, 1, 1, 0, 0
0.000421440, 1, 0, 0, 0
0.000421520, 1, 1, 0, 0
0.000422080, 1, 0, 0, 0
0.000422160, 1, 1, 0, 0
0.000422480, 1, 0, 0, 0
0.000422560, 1, 1, 0, 0
0.000423120, 1, 0, 0, 0
0.000423440, 1, 1, 0, 0
0.000423760, 1, 0, 0, 0
0.000423840, 1, 1, 0, 0
0.000424080, 1, 0, 0, 0
0.000424320, 1, 1, 0, 0
0.000424400, 1, 0, 0, 0
0.000424480, 1, 1, 0, 0
0.000424640, 1, 0, 0, 0
0.000425040, 1, 1, 0, 0
0.000425120, 1, 0, 0, 0
0.000425200, 1, 1, 0, 0
0.000425360, 1, 0, 0, 0
0.000425520, 1, 1, 0, 0
0.000425600, 1, 0, 0, 0
0.000425680, 1, 1, 0, 0
0.000425840, 1, 0, 0, 0
0.000425920, 1, 1, 0, 0
0.000426000, 1, 0, 0, 0
0.000426240, 1, 1, 0, 0
0.000426320, 1, 0, 0, 0
0.000426800, 1, 1, 0, 0
0.000426880, 1, 0, 0, 0
0.000426960, 1, 1, 0, 0
0.000427040, 1, 0, 0, 0
0.000427200, 1, 1, 0, 0
0.000427280, 1, 0, 0, 0
0.000427520, 1, 1, 0, 0
0.000427840, 1, 0, 0, 0
0.000428240, 1, 1, 0, 0
0.000428320, 1, 0, 0, 0
0.000428720, 1, 1, 0, 0
0.000428880, 1, 0, 0, 0
0.000428960, 1, 1, 0, 0
0.000429040, 1, 0, 0, 0
0.000429440, 1, 1, 0, 0
0.000429680, 1, 0, 0, 0
0.000429760, 1, 1, 0, 0
0.000429840, 1, 0, 0, 0
0.000430000, 1, 1, 0, 0
0.000430240, 1, 0, 0, 0
0.000430640, 1, 1, 0, 0
0.000430720, 1, 0, 0, 0
0.000430880, 1, 1, 0, 0
0.000430960, 1, 0, 0, 0
0.000431280, 1, 1, 0, 0
0.000431520, 1, 0, 0, 0
0.000431680, 1, 1, 0, 0
0.000431760, 1, 0, 0, 0
0.000431840, 1, 1, 0, 0
0.000431920, 1, 0, 0, 0
0.000432000, 1, 1, 0, 0
0.000432080, 1, 0, 0, 0
0.000432560, 1, 1, 0, 0
0.000432720, 1, 0, 0, 0
0.000432800, 1, 1, 0, 0
0.000432960, 1, 0, 0, 0
0.000433120, 1, 1, 0, 0
0.000433200, 1, 0, 0, 0
0.000433440, 1, 1, 0, 0
0.000433600, 1, 0, 0, 0
0.000433840, 1, 1, 0, 0
0.000434000, 1, 0, 0, 0
0.000434160, 1, 1, 0, 0
0.000434240, 1, 0, 0, 0
0.000434400, 1, 1, 0, 0
0.000434480, 1, 0, 0, 0
0.000434640, 1, 1, 0, 0
0.000434720, 1, 0, 0, 0
0.000434800, 1, 1, 0, 0
0.000434960, 1, 0, 0, 0
0.000435120, 1, 1, 0, 0
0.000435360, 1, 0, 0, 0
0.000435440, 1, 1, 0, 0
0.000435600, 1, 0, 0, 0
0.000435680, 1, 1, 0, 0
0.000435760, 1, 0, 0, 0
0.000435920, 1, 1, 0, 0
0.000436080, 1, 0, 0, 0
0.000436160, 1, 1, 0, 0
0.000436240, 1, 0, 0, 0
0.000436400, 1, 1, 0, 0
0.000436480, 1, 0, 0, 0
0.000436640, 1, 1, 0, 0
0.000436720, 1, 0, 0, 0
0.000436800, 1, 1, 0, 0
0.000436880, 1, 0, 0, 0
